 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
36102,23,2,1,31,6,31,0,15.5,21.92031022,6,6,6.0,0.0,1608695.652,130434.7826,11.5,12.02081528,20,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,20,86956.52174,43478.26087,0,31,17.0,16.35033129,267.3333333,0,1,0,0,1,0,0,0,0,22.66666667,15.5,6.0,64,0,0,0,0,0,0,2,31,1,6,1006,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,30805,2,2,108,230,54,54,54.0,0.0,115,115,115.0,0.0,10972.24477,129.8490505,10268.33333,17780.07889,30799,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,64.92452524,64.92452524,54,115,78.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,98.0,54.0,115.0,40,0,0,0,0,0,0,2,108,2,230,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,5535509,8,8,372,3876,191,0,46.5,71.87687886,1460,0,484.5,674.522053,767.4091037,2.890429769,369033.9333,1334057.528,5188524,3,5535509,790787.0,1940029.332,5188524,4,234887,33555.28571,55926.56362,118369,3,0,0,0,0,172,168,1.445214884,1.445214884,0,1460,249.8823529,503.4098582,253421.4853,0,0,0,1,0,0,0,0,1,265.5,46.5,484.5,172,0,0,0,0,0,0,8,372,8,3876,8192,4697,7,20,346981.0,0.0,346981,346981,5188524.0,0.0,5188524,5188524,BENIGN
53,49235,4,2,152,202,38,38,38.0,0.0,101,101,101.0,0.0,7190.007109,121.8645273,9847.0,13705.78849,28130,4,28138,9379.333333,16238.55367,28130,4,4,4.0,0.0,4,4,0,0,0,0,128,40,81.24301818,40.62150909,38,101,56.0,30.7408523,945.0,0,0,0,0,0,0,0,0,0,65.33333333,38.0,101.0,128,0,0,0,0,0,0,4,152,2,202,-1,-1,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,181,2,2,70,218,35,35,35.0,0.0,109,109,109.0,0.0,1591160.221,22099.44751,60.33333333,98.43949072,174,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,11049.72376,11049.72376,35,109,64.6,40.53146926,1642.8,0,0,0,0,0,0,0,0,1,80.75,35.0,109.0,40,0,0,0,0,0,0,2,70,2,218,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,562411,4,4,450,1901,438,0,112.5,217.0184324,1456,6,475.25,684.1166445,4180.216959,14.22447285,80344.42857,100109.749,189063,59,562284,187428.0,1493.846378,189141,186396,376075,125358.3333,108392.4656,189122,205,0,0,0,0,100,80,7.112236425,7.112236425,0,1456,261.2222222,485.4481892,235659.9444,0,0,0,1,0,0,0,0,1,293.875,112.5,475.25,100,0,0,0,0,0,0,4,450,4,1901,29200,4818,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,134,2,2,70,102,35,35,35.0,0.0,51,51,51.0,0.0,1283582.09,29850.74627,44.66666667,71.30451131,127,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,14925.37313,14925.37313,35,51,41.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,51.75,35.0,51.0,40,0,0,0,0,0,0,2,70,2,102,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,465,2,2,104,220,52,52,52.0,0.0,110,110,110.0,0.0,696774.1935,8602.150538,155.0,264.1420073,460,1,4,4.0,0.0,4,4,1,1.0,0.0,1,1,0,0,0,0,64,64,4301.075269,4301.075269,52,110,75.2,31.76790834,1009.2,0,0,0,0,0,0,0,0,1,94.0,52.0,110.0,64,0,0,0,0,0,0,2,104,2,220,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
465,19,2,0,37,0,37,0,18.5,26.1629509,0,0,0.0,0.0,1947368.421,105263.1579,19.0,0.0,19,19,19,19.0,0.0,19,19,0,0.0,0.0,0,0,1,0,0,0,64,0,105263.1579,0.0,0,37,24.66666667,21.36195996,456.3333333,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,64,0,0,0,0,0,0,2,37,0,0,307,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,169,2,2,56,184,28,28,28.0,0.0,92,92,92.0,0.0,1420118.343,23668.63905,56.33333333,56.95904962,117,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,64,64,11834.31953,11834.31953,28,92,53.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,67.0,28.0,92.0,64,0,0,0,0,0,0,2,56,2,184,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
